Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action)
"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","fico_range_low","fico_range_high","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","last_fico_range_high","last_fico_range_low","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_act_il","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_fico_range_low","sec_app_fico_range_high","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_act_il","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount","debt_settlement_flag","debt_settlement_flag_date","settlement_status","settlement_date","settlement_amount","settlement_percentage","settlement_term"
"10129454","","12000","12000","12000"," 36 months"," 10.99%","392.81","B","B2","Project Manager","4 years","RENT","60000","Not Verified","Dec-2013","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=10129454","  Borrower added on 12/31/13 > I would like to use this money to payoff existing credit card debt and use the remaining about to purchase a used car that is fuel efficient.<br>","debt_consolidation","No Regrets","281xx","NC","4.62","0","Dec-2009","720","724","1","","","15","0","7137","24%","18","f","0.00","0.00","13988.6099956242","13988.61","12000.00","1988.61","0.0","0.0","0.0","Apr-2016","3775.55","","Aug-2018","569","565","0","","1","Individual","","","","0","0","7137","","","","","","","","","","","","29700","","","","8","476","15216","15.9","0","0","","48","1","1","0","1","","3","","0","4","7","8","10","0","15","18","7","15","0","0","0","4","100","0","0","0","29700","7137","18100","0","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"10149488","","4800","4800","4800"," 36 months"," 10.99%","157.13","B","B2","Surgical Technician","2 years","MORTGAGE","39600","Source Verified","Dec-2013","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=10149488","  Borrower added on 12/31/13 > Just bought a house, and would like a little extra funds to improve aspects of the house such as, duct work, electrical outlets, backyard, and other minor areas.<br>","home_improvement","For The House","782xx","TX","2.49","0","Aug-1995","755","759","2","","","3","0","4136","16.1%","8","w","0.00","0.00","5157.5194567178","5157.52","4800.00","357.52","0.0","0.0","0.0","Sep-2014","3900.48","","Jan-2017","534","530","0","","1","Individual","","","","0","0","4136","","","","","","","","","","","","25700","","","","0","1379","21564","16.1","0","0","104","220","25","25","0","25","","3","","0","2","2","3","4","1","3","7","2","3","0","0","0","0","100","0","0","0","25700","4136","25700","0","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"10148122","","12000","12000","12000"," 36 months","  7.62%","373.94","A","A3","Systems Engineer","3 years","MORTGAGE","96500","Not Verified","Dec-2013","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=10148122","  Borrower added on 12/31/13 > Bought a new house, furniture, water softener, a second car, etc. Got our lives started and now a manageable monthly payment will help keep them going!<br>","debt_consolidation","Debt Consolidation and Credit Transfer","782xx","TX","12.61","0","Sep-2003","705","709","0","","","17","0","13248","55.7%","30","f","0.00","0.00","13397.5399977648","13397.54","12000.00","1397.54","0.0","0.0","0.0","Jun-2016","2927.22","","Jul-2020","814","810","0","","1","Individual","","","","0","0","200314","","","","","","","","","","","","23800","","","","4","11783","2441","83.5","0","0","123","118","10","9","1","10","","10","","0","4","5","4","10","15","8","14","5","17","0","0","0","3","100","100","0","0","233004","46738","14800","53404","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"10149342","","27050","27050","27050"," 36 months"," 10.99%","885.46","B","B2","Team Leadern Customer Ops & Systems","10+ years","OWN","55000","Verified","Dec-2013","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=10149342","  Borrower added on 12/31/13 > Combining high interest credit cards to lower interest rate.<br>","debt_consolidation","Debt Consolidation","481xx","MI","22.87","0","Oct-1986","730","734","0","","","14","0","36638","61.2%","27","w","0.00","0.00","31752.53","31752.53","27050.00","4702.53","0.0","0.0","0.0","Jul-2016","6074.19","","Jul-2020","819","815","0","","1","Individual","","","","0","0","114834","","","","","","","","","","","","59900","","","","3","9570","16473","53.9","0","0","117","326","16","6","4","16","","8","","0","2","4","4","8","8","10","15","4","14","0","0","0","1","100","25","0","0","138554","70186","35700","33054","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"10129477","","14000","14000","14000"," 36 months"," 12.85%","470.71","B","B4","Assistant Director - Human Resources","4 years","RENT","88000","Not Verified","Dec-2013","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=10129477","","debt_consolidation","Debt consolidation","282xx","NC","10.02","1","Jun-1988","670","674","0","16","115","6","1","3686","81.9%","14","f","0.00","0.00","16945.318782821","16945.32","14000.00","2945.32","0.0","0.0","0.0","Jan-2017","470.47","","Jul-2020","574","570","0","","1","Individual","","","","0","0","17672","","","","","","","","","","","","4500","","","","3","2945","480","87.7","0","0","111","103","24","13","0","38","16","","16","0","3","4","3","9","3","4","10","4","6","0","0","0","0","78.6","100","1","0","31840","17672","3900","27340","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"10159498","","12000","12000","12000"," 36 months","  6.62%","368.45","A","A2","MANAGER INFORMATION DELIVERY","10+ years","MORTGAGE","105000","Not Verified","Dec-2013","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=10159498","","debt_consolidation","UNIVERSAL CARD","060xx","CT","14.05","0","Mar-1994","760","764","1","43","","12","0","13168","21.6%","22","w","0.00","0.00","13263.9546393868","13263.95","12000.00","1263.95","0.0","0.0","0.0","Jan-2017","368.2","","Jul-2020","779","775","0","","1","Individual","","","","0","0","267646","","","","","","","","","","","","61100","","","","4","26765","39432","25","0","0","146","237","20","3","4","20","","3","43","0","2","2","5","5","9","8","9","2","12","0","0","0","2","95.5","0","0","0","333044","42603","52600","42769","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"10159548","","15000","15000","15000"," 36 months","  8.90%","476.3","A","A5","aircraft maintenance engineer","2 years","MORTGAGE","63000","Not Verified","Dec-2013","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=10159548","  Borrower added on 12/31/13 > To pay Home Depot Credit Services card for my recent kitchen upgrade and pay off my Capital One credit card balance<br>","debt_consolidation","Pay off","334xx","FL","16.51","0","Mar-1998","670","674","0","34","","8","0","11431","74.2%","29","w","0.00","0.00","17146.7251036266","17146.73","15000.00","2146.73","0.0","0.0","0.0","Jan-2017","476.23","","Mar-2020","749","745","0","34","1","Individual","","","","0","1514","272492","","","","","","","","","","","","15400","","","","3","38927","2969","79.1","0","0","147","189","24","13","4","24","75","12","75","3","3","4","3","10","8","6","17","4","8","0","0","0","0","89.3","66.7","0","0","288195","39448","14200","33895","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"10129403","","7550","7550","7550"," 36 months"," 16.24%","266.34","C","C5","Special Order Fulfillment Clerk","3 years","RENT","28000","Not Verified","Dec-2013","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=10129403","","debt_consolidation","Debt consolidation","951xx","CA","8.4","0","Oct-2010","660","664","0","","","4","0","5759","72%","5","w","0.00","0.00","9600.4546311149","9600.45","7550.00","2050.45","0.0","0.0","0.0","Dec-2016","529.67","","May-2019","634","630","0","","1","Individual","","","","0","0","5759","","","","","","","","","","","","8000","","","","1","1440","160","96","0","0","","38","17","17","0","17","","17","","0","2","4","2","2","0","4","5","4","4","0","0","0","0","100","100","0","0","8000","5759","4000","0","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"10149577","","28000","28000","28000"," 36 months","  7.62%","872.52","A","A3","Area Sales Manager","5 years","MORTGAGE","325000","Source Verified","Dec-2013","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=10149577","","debt_consolidation","Pay off other Installment loan","945xx","CA","18.55","0","Nov-1994","745","749","1","","","15","0","29581","54.6%","31","w","0.00","0.00","29150.98","29150.98","28000.00","1150.98","0.0","0.0","0.0","Aug-2014","23915.86","","Aug-2014","789","785","0","","1","Individual","","","","0","0","799592","","","","","","","","","","","","54200","","","","6","53306","13901","67.1","0","0","125","229","5","2","5","5","","3","","0","4","5","6","8","11","9","15","5","15","0","0","0","5","100","16.7","0","0","850886","199739","42200","196686","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"10119623","","12000","12000","12000"," 36 months"," 11.99%","398.52","B","B3","LTC","10+ years","MORTGAGE","130000","Source Verified","Dec-2013","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=10119623","","debt_consolidation","Debt consolidation","809xx","CO","13.03","0","Nov-1997","715","719","1","","","9","0","10805","67%","19","f","0.00","0.00","14346.479049698","14346.48","12000.00","2346.48","0.0","0.0","0.0","Jan-2017","398.28","","Jul-2018","714","710","0","","1","Individual","","","","0","0","327264","","","","","","","","","","","","16200","","","","4","36362","3567","93","0","0","173","193","4","4","3","85","","4","","0","3","5","4","4","8","5","8","5","9","","0","0","3","100","1","0","0","365874","44327","10700","57674","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
